Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577339497190298129,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,22.99,24.07,USD,1,No,Not cash on delivery,Pending,spongebobprodsz,Video,7604755424222481678,fixed commission,,24.99,,,,6%,1.5,,,,07/04/2026 12:27:12,07/04/2026 12:27:16,,,TTS
577339488318558367,1732065308269187249,"VAHDAM Shatavari Capsules 1000mg, Supports Healthy Hormonal Balance in Women, Herbal Supplement for Women, Vegan, Gluten-Free, 90 Capsules",1732109959987630257,22.93,25.17,USD,1,No,Not cash on delivery,Pending,magicmattboxing,Video,7601367222887402766,fixed commission,20%,34.99,7,,,,,,,,07/04/2026 12:06:06,07/04/2026 12:06:09,,,TTS
577339483524075592,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1732320403761172657,28.79,28.79,USD,1,No,Not cash on delivery,Pending,ozzyasks,Video,7604917322075082015,fixed commission,,34.19,,,,6%,2.05,,,,07/04/2026 12:05:12,07/04/2026 12:05:15,,,TTS
577339471220150687,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,18.99,18.99,USD,1,No,Not cash on delivery,Pending,tiktakfan72,Video,7622844788521340174,fixed commission,25%,20.99,5.25,,,,,,,,07/04/2026 11:35:46,07/04/2026 11:35:49,,,TTS
577339460241625944,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,12.27,12.63,USD,1,No,Not cash on delivery,Pending,legendarylootfinds,Video,7620696852039519518,fixed commission,,18.59,,,,6%,1.12,,,,07/04/2026 11:14:23,07/04/2026 11:14:26,,,TTS
577339455626908482,1732065308269187249,"VAHDAM Shatavari Capsules 1000mg, Supports Healthy Hormonal Balance in Women, Herbal Supplement for Women, Vegan, Gluten-Free, 90 Capsules",1732109959987564721,19.99,19.99,USD,1,No,Not cash on delivery,Pending,kk.baltazar,Video,7600223346780900638,fixed commission,20%,19.99,4,,,,,,,,07/04/2026 11:14:13,07/04/2026 11:14:16,,,TTS
577339450479252209,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1732320403761172657,34.99,38.23,USD,1,No,Not cash on delivery,Pending,spongebobprodsz,Video,7604755424222481678,fixed commission,,34.99,,,,6%,2.1,,,,07/04/2026 11:05:04,07/04/2026 11:05:07,,,TTS
577339417069326694,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,18.99,18.99,USD,1,No,Not cash on delivery,Pending,totallyrocco1,Video,7616832222829579550,fixed commission,,20.99,,,,6%,1.26,,,,07/04/2026 10:19:43,07/04/2026 10:19:46,,,TTS
577339409303179757,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,18.99,18.99,USD,1,No,Not cash on delivery,Pending,maria.beatrizh,Video,7565194491821411614,fixed commission,25%,20.99,5.25,,,,,,,,07/04/2026 10:14:38,07/04/2026 10:14:41,,,TTS
577339402217951376,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1732320403761172657,34.99,38.35,USD,1,No,Not cash on delivery,Pending,azulwolf1,Video,7616153182774889758,fixed commission,25%,34.99,8.75,,,,,,,,07/04/2026 10:11:44,07/04/2026 10:11:48,,,TTS
