Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577380064586535261,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1729488250396120241,29.99,29.99,USD,1,No,Not cash on delivery,Pending,amberfindsdeals,Video,7593892152590044430,fixed commission,20%,44.99,9,,,,,,,,07/05/2026 11:32:17,07/05/2026 11:32:21,,,TTS
577379958929920659,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,12.77,13.7,USD,1,No,Not cash on delivery,Pending,lisajustagirl,Video,7606229854459022605,fixed commission,25%,18.99,4.75,,,,,,,,07/05/2026 09:39:36,07/05/2026 09:39:40,,,TTS
577379904252121939,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.99,17.99,USD,1,No,Not cash on delivery,Pending,sumavida,Video,7634807513954684173,fixed commission,20%,19.99,4,,,,,,,,07/05/2026 08:56:42,07/05/2026 08:56:45,,,TTS
577379883273982489,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,19.99,19.99,USD,1,No,Not cash on delivery,Pending,emia_stef,Video,7474815152869625130,fixed commission,,21.99,,,,6%,1.32,,,,07/05/2026 08:43:36,07/05/2026 08:43:39,,,TTS
577379866365235302,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.99,19.43,USD,1,No,Not cash on delivery,Pending,getdealstoday,Video,7621307276137139469,fixed commission,,19.99,,,,6%,1.2,,,,07/05/2026 08:31:09,07/05/2026 08:31:13,,,TTS
577379833923539349,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,19.54,19.54,USD,1,No,Not cash on delivery,Pending,queencreatorpro,Video,7585796416396659998,fixed commission,20%,21.54,4.31,,,,,,,,07/05/2026 08:07:41,07/05/2026 08:07:45,,,TTS
577379822740672590,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,21.99,21.99,USD,1,No,Not cash on delivery,Pending,morrdeals,Video,7464772739644132638,fixed commission,,21.99,,,,6%,1.32,,,,07/05/2026 08:02:29,07/05/2026 08:02:32,,,TTS
577379794601087639,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.99,17.99,USD,1,No,Not cash on delivery,Pending,sumavida,Video,7458476627836816686,fixed commission,20%,19.99,4,,,,,,,,07/05/2026 07:43:10,07/05/2026 07:43:13,,,TTS
577379747238940749,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1729488250396120241,46.99,50.93,USD,1,No,Not cash on delivery,Pending,tiktok.shop.socia,External Traffic Program,7496312785404791719,fixed commission,12.5%,46.99,5.87,,,,,,,,07/05/2026 07:14:34,07/05/2026 07:14:37,,,TTS
577379722222080542,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1732320403761172657,34.99,37.35,USD,1,No,Not cash on delivery,Pending,findsbygold,Video,7636548958742924557,fixed commission,,34.99,,,,5%,1.75,,,,07/05/2026 06:59:12,07/05/2026 06:59:17,,,TTS
577379716716138589,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,19.07,19.07,USD,1,No,Not cash on delivery,Pending,luisferdeals,Video,7624369511319358751,fixed commission,20%,21.47,4.29,,,,,,,,07/05/2026 06:53:18,07/05/2026 06:53:21,,,TTS
