Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577358798812779094,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,18.74,18.74,USD,1,No,Not cash on delivery,Pending,dalinda.benitez0,Video,7631449641095056670,fixed commission,20%,19.99,4,,,,,,,,22/04/2026 11:05:51,22/04/2026 11:05:54,,,TTS
577358763004694887,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,18.56,18.56,USD,1,No,Not cash on delivery,Pending,ara_b_style,Video,7492821673037761838,fixed commission,20%,21.54,4.31,,,,,,,,22/04/2026 10:16:46,22/04/2026 10:16:50,,,TTS
577358724685599576,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,5.35,5.51,USD,1,No,Not cash on delivery,Pending,morrdeals,Video,7464772739644132638,fixed commission,,17.69,,,,6%,1.06,,,,22/04/2026 09:37:40,22/04/2026 09:37:44,,,TTS
577358602161393797,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470377005233,34.95,34.95,USD,1,No,Not cash on delivery,Pending,leeleesfavfinds,Video,7484386495617420575,fixed commission,20%,39.99,8,,,,,,,,22/04/2026 07:58:16,22/04/2026 07:58:20,,,TTS
577358599823724954,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1732351510015479985,42.49,42.49,USD,1,No,Not cash on delivery,Pending,blackfridaybrian,Video,7526801026502905102,fixed commission,20%,44.99,9,,,,,,,,22/04/2026 07:56:30,22/04/2026 07:56:33,,,TTS
577358556139721264,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,13.74,13.74,USD,1,No,Not cash on delivery,Pending,jorgegalvezl,Video,7601273645448629534,fixed commission,20%,19.99,4,,,,,,,,22/04/2026 07:25:52,22/04/2026 07:25:55,,,TTS
577358545744532446,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,15.63,15.83,USD,1,No,Not cash on delivery,Pending,rosy2755,Video,7630370831083801870,fixed commission,,21.54,,,,6%,1.29,,,,22/04/2026 07:17:54,22/04/2026 07:17:58,,,TTS
577358533041819775,1732065201554034865,"VAHDAM, Turmeric Ginger 1900mg - with 1500mg Curcuminoids | Added Ginger & Piperine for Fast Absorption | Supports Joint Health and Mobility | 90 Capsules",1732069652443402417,29.99,32.38,USD,1,No,Not cash on delivery,Pending,jcventanilla,Video,7627114578891083038,fixed commission,20%,44.99,9,,,,,,,,22/04/2026 07:09:15,22/04/2026 07:09:20,,,TTS
577358496708465562,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.04,34.08,USD,2,No,Not cash on delivery,Pending,emia_stef,Video,7474815152869625130,fixed commission,20%,44.98,9,,,,,,,,22/04/2026 06:44:41,22/04/2026 06:44:45,,,TTS
577358445146969061,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1732320403761172657,28.79,31.82,USD,1,No,Not cash on delivery,Pending,azulwolf1,Video,7630181264531787039,fixed commission,25%,28.79,7.2,,,,,,,,22/04/2026 06:07:54,22/04/2026 06:07:58,,,TTS
