Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577390784139334529,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1730881470376939697,10.99,10.99,USD,1,No,Not cash on delivery,Pending,blackfridaybrian,Video,7526801513163836727,fixed commission,,24.69,,,,15%,3.7,,,,15/05/2026 11:05:57,15/05/2026 11:06:01,,,TTS
577390787439726646,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Dietary Supplement Capsules, Plant-Based Herbs for Adults",1731877424524333233,12.88,12.88,USD,1,No,Not cash on delivery,Pending,pedroriveraoficial,Video,7616421067279666463,fixed commission,25%,15.39,3.85,,,,,,,,15/05/2026 11:05:16,15/05/2026 11:05:20,,,TTS
577390746765857710,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1732351510015479985,47.28,94.56,USD,2,No,Not cash on delivery,Pending,itsgilbeau,Video,7474725342943382814,fixed commission,20%,114.46,22.9,,,,,,,,15/05/2026 10:22:09,15/05/2026 10:22:13,,,TTS
577390745433707393,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1730881470376939697,9.39,9.39,USD,1,No,Not cash on delivery,Pending,tiktok.shop.socia,External Traffic Program,7496312785404791719,fixed commission,10%,22.99,2.3,,,,,,,,15/05/2026 10:17:21,15/05/2026 10:17:25,,,TTS
577390740772589817,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1730881470376939697,19.09,19.09,USD,1,No,Not cash on delivery,Pending,warsans.languagel,Video,7632071345706110238,fixed commission,,19.09,,,,6%,1.15,,,,15/05/2026 10:11:27,15/05/2026 10:11:30,,,TTS
577390569672577284,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1730881470376939697,17.32,17.32,USD,1,No,Not cash on delivery,Pending,sosacontent2025,Video,7635345726066773261,fixed commission,30%,19.4,5.82,,,,,,,,15/05/2026 07:54:50,15/05/2026 07:54:53,,,TTS
577390563899773918,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1732393394286661809,33.63,34.05,USD,1,No,Not cash on delivery,Pending,povshopdeals,Video,7620501478452497677,fixed commission,20%,36.99,7.4,,,,,,,,15/05/2026 07:52:48,15/05/2026 07:52:52,,,TTS
577390542461375198,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1730881470376939697,18.52,17.92,USD,1,No,Not cash on delivery,Pending,warsans.languagel,Video,7606478701001477407,fixed commission,20%,22.99,4.6,,,,,,,,15/05/2026 07:36:51,15/05/2026 07:36:55,,,TTS
577390340991652128,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1730881470376939697,16.52,16.52,USD,1,No,Not cash on delivery,Pending,dalinda.benitez0,Video,7637757759089397022,fixed commission,20%,20.99,4.2,,,,,,,,15/05/2026 05:15:35,15/05/2026 05:15:39,,,TTS
577390327980920857,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings Beverage",1730881470376939697,19.44,19.44,USD,1,No,Not cash on delivery,Pending,totallyrocco1,Video,7616832222829579550,fixed commission,,22.56,,,,10%,2.26,,,,15/05/2026 05:06:33,15/05/2026 05:06:38,,,TTS
