Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577381470316630495,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,13.74,13.74,USD,1,No,Not cash on delivery,Pending,rosa.fernandez5128,Video,7630576820445777183,fixed commission,,19.99,,,,15%,3,,,,08/05/2026 11:26:23,08/05/2026 11:26:26,,,TTS
577381466607816985,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,23.2,23.2,USD,1,No,Not cash on delivery,Pending,lisajustagirl,Video,7606229854459022605,fixed commission,25%,24.99,6.25,,,,,,,,08/05/2026 11:18:12,08/05/2026 11:18:15,,,TTS
577381407647830946,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,19.54,19.93,USD,1,No,Not cash on delivery,Pending,palomaashop,Video,7633695134072327438,fixed commission,,21.54,,,,15%,3.23,,,,08/05/2026 10:09:16,08/05/2026 10:09:19,,,TTS
577381406657516309,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.99,18.35,USD,1,No,Not cash on delivery,Pending,sarahgibbons_,Video,7631703884465048863,fixed commission,80%,19.99,15.99,,,,,,,,08/05/2026 10:06:36,08/05/2026 10:06:39,,,TTS
577381328887452275,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470377005233,37.99,38.18,USD,1,No,Not cash on delivery,Pending,thesavageway77,Video,7636606595220180255,fixed commission,,37.99,,,,6%,2.28,,,,08/05/2026 09:03:50,08/05/2026 09:03:53,,,TTS
577381322292171501,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,15.69,15.69,USD,1,No,Not cash on delivery,Pending,blackfridaybrian,Video,7526801513163836727,fixed commission,,17.69,,,,6%,1.06,,,,08/05/2026 08:57:20,08/05/2026 08:57:23,,,TTS
577381312002036059,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1732320403761172657,30.99,33.59,USD,1,No,Not cash on delivery,Pending,spongebobprodsz,Video,7604755424222481678,fixed commission,,34.99,,,,5%,1.75,,,,08/05/2026 08:53:39,08/05/2026 08:53:43,,,TTS
577381311488299265,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1732351510015479985,25.99,25.99,USD,1,No,Not cash on delivery,Pending,emia_stef,Video,7474815152869625130,fixed commission,20%,46.99,9.4,,,,,,,,08/05/2026 08:48:44,08/05/2026 08:48:48,,,TTS
577381302373027937,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,14.42,14.42,USD,1,No,Not cash on delivery,Pending,themagicalmillennial_,Video,7634600674868727070,fixed commission,,16.54,,,,10%,1.65,,,,08/05/2026 08:44:10,08/05/2026 08:44:14,,,TTS
577381251517879214,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,19.99,19.99,USD,1,No,Not cash on delivery,Pending,leslypocasangre,Video,7632031401931476254,fixed commission,,21.99,,,,30%,6.6,,,,08/05/2026 08:08:13,08/05/2026 08:08:16,,,TTS
