Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577323243010691523,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,15.63,15.63,USD,1,No,Not cash on delivery,Pending,cmnirola,Video,7620176724743032078,fixed commission,,17.23,,,,6%,1.03,,,,25/03/2026 22:30:10,25/03/2026 22:30:14,,,TTS
577323178476540150,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,24.99,26.17,USD,1,No,Not cash on delivery,Pending,azulwolf1,Video,7612150567443418398,fixed commission,,24.99,,,,6%,1.5,,,,25/03/2026 21:30:50,25/03/2026 21:30:54,,,TTS
577323153234301429,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470377005233,28.97,28.97,USD,1,No,Not cash on delivery,Pending,girlfam,Video,7613377033590148383,fixed commission,25%,34.99,8.75,,,,,,,,25/03/2026 21:08:42,25/03/2026 21:08:45,,,TTS
577323148407771321,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,23.74,23.74,USD,1,No,Not cash on delivery,Pending,prettigirlq,Video,7613037673715911967,fixed commission,30%,24.99,7.5,,,,,,,,25/03/2026 21:00:04,25/03/2026 21:00:08,,,TTS
577323067559351005,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,15.63,15.63,USD,1,No,Not cash on delivery,Pending,blackfridaybrian,Video,7526801513163836727,fixed commission,,17.23,,,,6%,1.03,,,,25/03/2026 19:32:36,25/03/2026 19:32:41,,,TTS
577323031821783288,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,18.74,18.74,USD,1,No,Not cash on delivery,Pending,bestmarketfindsss,Video,7613898248469761311,fixed commission,25%,23.74,5.94,,,,,,,,25/03/2026 18:53:06,25/03/2026 18:53:10,,,TTS
577323002835341334,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1729488250396120241,32.49,35.32,USD,1,No,Not cash on delivery,Pending,siebdn7,Video,7603046818464681229,fixed commission,,47.49,,,,6%,2.85,,,,25/03/2026 18:14:07,25/03/2026 18:14:10,,,TTS
577322998699626843,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.47,17.82,USD,1,No,Not cash on delivery,Pending,legendarylootfinds,Video,7620696852039519518,fixed commission,,19.99,,,,6%,1.2,,,,25/03/2026 18:08:10,25/03/2026 18:08:14,,,TTS
577322961470329656,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524398769,26.49,28.94,USD,1,No,Not cash on delivery,Pending,spongebobprodsz,Video,7604755424222481678,fixed commission,,29.69,,,,6%,1.78,,,,25/03/2026 17:14:45,25/03/2026 17:14:48,,,TTS
577322959338574566,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1731088385812107441,39.32,39.32,USD,1,No,Not cash on delivery,Pending,ms.r650,Video,7603810635767352590,fixed commission,20%,44.99,9,,,,,,,,25/03/2026 17:11:54,25/03/2026 17:11:58,,,TTS
