Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577328030690676962,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,20.24,20.24,USD,1,No,Not cash on delivery,Pending,azulwolf1,Video,7612150567443418398,fixed commission,25%,24.99,6.25,,,,,,,,29/03/2026 11:13:20,29/03/2026 11:13:24,,,TTS
577328008963068583,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,24.99,24.99,USD,1,No,Not cash on delivery,Pending,coach0313,Showcase,7495983468192958587,fixed commission,30%,24.99,7.5,,,,,,,,29/03/2026 10:39:40,29/03/2026 10:40:49,,,TTS
577327989308297563,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1729488250396120241,42.49,42.49,USD,1,No,Not cash on delivery,Pending,spongebobprodsz,Video,7604755424222481678,fixed commission,,47.49,,,,6%,2.85,,,,29/03/2026 10:17:49,29/03/2026 10:17:53,,,TTS
577327966139683824,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,15.29,38.29,USD,2,No,Not cash on delivery,Pending,totallyrocco1,Video,7622079214908378398,fixed commission,,34.58,,,,6%,2.08,,,,29/03/2026 10:02:45,29/03/2026 10:02:49,,,TTS
577327961931419745,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1729488250396120241,37.49,37.49,USD,1,No,Not cash on delivery,Pending,ozzyasks,Video,7604917322075082015,fixed commission,,47.49,,,,6%,2.85,,,,29/03/2026 09:51:59,29/03/2026 09:52:02,,,TTS
577327903107682308,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470377005233,29.92,30.59,USD,1,No,Not cash on delivery,Pending,sumavida,Showcase,7494908507839368009,fixed commission,25%,33.42,8.36,,,,,,,,29/03/2026 09:02:41,29/03/2026 09:02:44,,,TTS
577327903107682308,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.09,17.47,USD,1,No,Not cash on delivery,Pending,sumavida,Showcase,7494908507839368009,fixed commission,25%,19.09,4.77,,,,,,,,29/03/2026 09:02:41,29/03/2026 09:02:44,,,TTS
577327883989062350,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524398769,21.65,21.65,USD,1,No,Not cash on delivery,Pending,shopwitnor,Video,7612877847459286303,fixed commission,25%,27.03,6.76,,,,,,,,29/03/2026 08:48:02,29/03/2026 08:48:05,,,TTS
577327816650756538,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1731088385812107441,34.42,34.42,USD,1,No,Not cash on delivery,Pending,totallyrocco1,Video,7616832222829579550,fixed commission,,38.92,,,,6%,2.34,,,,29/03/2026 07:55:08,29/03/2026 07:55:11,,,TTS
577327806058238683,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524398769,23.99,25.26,USD,1,No,Not cash on delivery,Pending,amberfindsdeals,Video,7594658852549692685,fixed commission,,39.99,,,,6%,2.4,,,,29/03/2026 07:49:03,29/03/2026 07:49:07,,,TTS
577327797193249009,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1729488250396120241,33.99,36.11,USD,1,No,Not cash on delivery,Pending,tiktok.shop.socia,External Traffic Program,7496312785404791719,fixed commission,15%,41.49,6.22,,,,,,,,29/03/2026 07:39:13,29/03/2026 07:39:17,,,TTS
577327718539890856,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.99,17.99,USD,1,No,Not cash on delivery,Pending,sumavida,Video,7458476627836816686,fixed commission,25%,19.99,5,,,,,,,,29/03/2026 06:34:37,29/03/2026 06:34:41,,,TTS
577327693220385750,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,11.69,11.69,USD,1,No,Not cash on delivery,Pending,blackfridaybrian,Video,7526801026502905102,fixed commission,20%,19.99,4,,,,,,,,29/03/2026 06:16:17,29/03/2026 06:16:21,,,TTS
577327641043571665,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,22.49,22.49,USD,1,No,Not cash on delivery,Pending,snackscoops,Video,7622136737745095966,fixed commission,,24.99,,,,6%,1.5,,,,29/03/2026 05:32:39,29/03/2026 05:32:42,,,TTS
