Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577370188794663187,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,19.24,19.24,USD,1,No,Not cash on delivery,Pending,povshopdeals,Video,7620501478452497677,fixed commission,,19.24,,,,6%,1.15,,,,30/04/2026 11:44:17,30/04/2026 11:44:20,,,TTS
577370137458414349,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,21.18,21.18,USD,1,No,Not cash on delivery,Pending,miel_eyes,Video,7597183238150311182,fixed commission,,23.12,,,,6%,1.39,,,,30/04/2026 10:35:29,30/04/2026 10:35:32,,,TTS
577370093378834744,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470377005233,29.99,29.99,USD,1,No,Not cash on delivery,Pending,tiktok.shop.media6,External Traffic Program,7494421274415564736,fixed commission,10%,34.99,3.5,,,,,,,,30/04/2026 09:57:25,30/04/2026 09:57:28,,,TTS
577370044136067443,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,19.99,19.99,USD,1,No,Not cash on delivery,Pending,noemyhz1,Video,7632339596906368287,fixed commission,25%,19.99,5,,,,,,,,30/04/2026 09:13:36,30/04/2026 09:13:40,,,TTS
577370035741430095,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,23.03,23.03,USD,1,No,Not cash on delivery,Pending,sergiofitnesslifestyle,Video,7631271209711226142,fixed commission,25%,23.03,5.76,,,,,,,,30/04/2026 09:04:06,30/04/2026 09:04:09,,,TTS
577370007944073828,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,22.3,22.3,USD,1,No,Not cash on delivery,Pending,leeleesfavfinds,Video,7484386495617420575,fixed commission,20%,24.24,4.85,,,,,,,,30/04/2026 08:44:10,30/04/2026 08:44:13,,,TTS
577369992192430201,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,22.3,22.3,USD,1,No,Not cash on delivery,Pending,warsans.languagel,Video,7606478701001477407,fixed commission,,24.24,,,,6%,1.45,,,,30/04/2026 08:36:03,30/04/2026 08:36:07,,,TTS
577369970968334882,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.3,17.3,USD,1,No,Not cash on delivery,Pending,lissethenusa,Showcase,7494693974686141428,fixed commission,20%,19.24,3.85,,,,,,,,30/04/2026 08:25:26,30/04/2026 08:25:29,,,TTS
577369899838181462,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,17.3,17.3,USD,1,No,Not cash on delivery,Pending,skippyreal,Video,7634148602343951630,fixed commission,25%,19.24,4.81,,,,,,,,30/04/2026 07:35:13,30/04/2026 07:35:17,,,TTS
577369879989686961,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,22,23.04,USD,1,No,Not cash on delivery,Pending,azulwolf1,Video,7616153182774889758,fixed commission,20%,24.99,5,,,,,,,,30/04/2026 07:19:31,30/04/2026 07:19:35,,,TTS
577369872401993785,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1732320403761172657,31.79,31.79,USD,1,No,Not cash on delivery,Pending,spongebobprodsz,Video,7604755424222481678,fixed commission,,34.99,,,,5%,1.75,,,,30/04/2026 07:17:02,30/04/2026 07:17:06,,,TTS
577369811401413106,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,13.96,13.96,USD,1,No,Not cash on delivery,Pending,miel_eyes,Video,7597183238150311182,fixed commission,,15.9,,,,6%,0.95,,,,30/04/2026 06:38:55,30/04/2026 06:38:59,,,TTS
577369804742365227,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,19.57,20.85,USD,1,No,Not cash on delivery,Pending,morrdeals,Video,7464772739644132638,fixed commission,,19.57,,,,6%,1.17,,,,30/04/2026 06:31:14,30/04/2026 06:31:18,,,TTS
577369789388460894,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,18.01,18.01,USD,1,No,Not cash on delivery,Pending,mindbodyandsoulbyze,Showcase,7496186036760775518,fixed commission,25%,19.95,4.99,,,,,,,,30/04/2026 06:23:31,30/04/2026 06:23:34,,,TTS
577369784253256434,1730195184299380913,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1730881470376939697,22.3,23.24,USD,1,No,Not cash on delivery,Pending,iamsk8bordb,Video,7479586079645994286,fixed commission,20%,24.24,4.85,,,,,,,,30/04/2026 06:19:37,30/04/2026 06:19:41,,,TTS
577369779403395114,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1732320403761172657,31.79,34.89,USD,1,No,Not cash on delivery,Pending,amberfindsdeals,Video,7594658852549692685,fixed commission,,34.99,,,,6%,2.1,,,,30/04/2026 06:18:00,30/04/2026 06:18:05,,,TTS
