Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
577351871701094736,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,19.99,21.54,USD,1,No,Not cash on delivery,Pending,azulwolf1,Video,7616153182774889758,fixed commission,25%,19.99,5,,,,,,,,17/04/2026 06:25:14,17/04/2026 06:25:18,,,TTS
577351691179234288,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,16.99,18.01,USD,1,No,Not cash on delivery,Pending,getdealstoday,Video,7623194497320586510,fixed commission,20%,19.99,4,,,,,,,,17/04/2026 03:49:03,17/04/2026 03:49:07,,,TTS
577351198835446657,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,19.99,21.74,USD,1,No,Not cash on delivery,Pending,sergiofitnesslifestyle,Video,7629010896987245855,fixed commission,25%,19.99,5,,,,,,,,16/04/2026 20:12:11,16/04/2026 20:12:14,,,TTS
577351158648967172,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,15.57,16.91,USD,1,No,Not cash on delivery,Pending,mariahdontexist,Video,7617661515671342350,fixed commission,25%,19.99,5,,,,,,,,16/04/2026 19:27:56,16/04/2026 19:28:00,,,TTS
577351043270611496,1731848824093708465,"VAHDAM Turmeric Curcumin 2000mg | 95% Curcuminoids with Black Pepper & MCT Oil for Maximum Absorption | Supports Joint Health, Inflammation Relief & Mobility | 90 Veg Capsules",1731877424524333233,21.84,23.93,USD,1,No,Not cash on delivery,Pending,shopwitnor,Video,7628670062244777247,fixed commission,,23.84,,,,6%,1.43,,,,16/04/2026 17:05:51,16/04/2026 17:05:55,,,TTS
